Globalstar M083,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a
Globalstar M084,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
Globalstar M085,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a
Globalstar M086,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
Globalstar M088,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a
Globalstar M089,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,51.99,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a
Globalstar M090,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
Globalstar M091,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a
Globalstar M092,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
Globalstar M093,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,51.98,700,2013,15,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
Globalstar M094,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,51.99,700,2013,15,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
Globalstar M095,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,51.98,700,2013,15,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
Globalstar M096,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52.01,700,2013,15,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
Globalstar M097,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1370,1391,0.00135,52.01,700,2013,15,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
G�kt�rk 1,Turkish Ministry of National Defense,Military,Earth Observation,LEO,Sun-Synchronous,683,683,0,98.1,1060,2016,7,Guiana Space Center,Vega
GPIM,National Aeronautics and Space Administration (NASA),Government,Technology Development,LEO,Sun-Synchronous,701,729,0.00198,24,180,2019,1,Cape Canaveral,Falcon Heavy
Grace Follow-on-1,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,LEO,Polar,485,504,0.00138,88.9,600,2018,5,Vandenberg AFB,Falcon 9
Grace Follow-on-2,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,LEO,Polar,484,504,0.00146,88.9,600,2018,5,Vandenberg AFB,Falcon 9
Haiyang 2A,State Oceanic Administration (SOA),Government,Earth Observation,LEO,Sun-Synchronous,965,967,0.000136,99.4,1500,2011,3,Taiyuan Launch Center,Long March 4B
Haiyang 2B,State Oceanic Administration (SOA),Government,Earth Observation,LEO,Sun-Synchronous,949,957,0.000546,99.3,1500,2018,3,Taiyuan Launch Center,Long March 4B
HEAD-1,HEAD Aerospace,Commercial,Earth Observation,LEO,Sun-Synchronous,796,809,0.000906,98.6,45,2017,3,Taiyuan Launch Center,Long March 4C
Helios 2A,Centre National d'Etudes Spatiales (CNES)/D�l�gation G�n�rale de l'Armement (DGA),Military,Earth Observation,LEO,Sun-Synchronous,681,683,0.000142,98.1,4200,2004,5,Guiana Space Center,Ariane 5G
Helios 2B,Centre National d'Etudes Spatiales (CNES)/D�l�gation G�n�rale de l'Armement (DGA),Military,Earth Observation,LEO,Sun-Synchronous,679,682,0.000213,98.1,4200,2009,5,Guiana Space Center,Ariane 5
HJ-1A,National Remote Sensing Center (NRSCC),Government,Earth Observation,LEO,Sun-Synchronous,628,665,0.00264,97.8,470,2008,3,Taiyuan Launch Center,Long March 2C
HJ-1B,National Remote Sensing Center (NRSCC),Government,Earth Observation,LEO,Sun-Synchronous,621,673,0.00371,97.8,470,2008,3,Taiyuan Launch Center,Long March 2C
HJ-1C,National Committee for Disaster Reduction and State Environmental Protection,Government,Earth Observation,LEO,Sun-Synchronous,420,438,0.00132,97.33,890,2012,3,Taiyuan Launch Center,Long March 2C
Hubble Space Telescope,European Space Agency (ESA)/NASA,Government,Space Science,LEO,Non-Polar Inclined,555,559,0.000289,28.5,11110,1990,10,Cape Canaveral,Space Shuttle (STS 31)
HySIS,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,647,648,7.13E-05,98,380,2018,5,Satish Dhawan Space Centre,PSLV
Icesat-2,National Aeronautics and Space Administration (NASA),Government,Earth Science,LEO,Polar,455,468,0.000951,93.02,1515,2018,3,Vandenberg AFB,Delta 2
INS-1C,Indian Space Research Organization (ISRO),Government,Technology Development,LEO,Sun-Synchronous,495,508,0.000946,97.5,5,2018,0.5,Satish Dhawan Space Centre,PSLV
INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL),European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Science,Elliptical,Deep Highly Eccentric,6292,156833,0.856,53.95,4000,2002,2,Baikonur Cosmodrome,Proton
IRIS,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,Sun-Synchronous,620,664,0.00314,97.9,236,2013,2,Vandenberg AFB,L1011
IRS-P6,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,817,823,0.000417,98.8,1360,2003,5,Satish Dhawan Space Centre,PSLV C5
ITU-pSAT1,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,LEO,Sun-Synchronous,710,721,0.000776,98.4,1,2009,1,Satish Dhawan Space Centre,PSLV
Jason 3,National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,LEO,Non-Polar Inclined,1301,1324,0.0015,66,553,2016,5,Vandenberg AFB,Falcon 9
Jilin-1-4,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,532,545,0.000941,97.5,95,2017,3,Taiyuan Launch Center,Long March 6
Jilin-1-5,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,531,544,0.000941,97.5,95,2017,3,Taiyuan Launch Center,Long March 6
Jilin-1-6,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,531,544,0.000941,97.5,95,2017,3,Taiyuan Launch Center,Long March 6
Canopus-B,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,LEO,Sun-Synchronous,501,505,0.000291,97.5,400,2012,5,Baikonur Cosmodrome,Soyuz-Fregat
KazEOSat-1,Kazcosmos,Government,Earth Observation,LEO,Sun-Synchronous,751,754,0.000211,98.53,830,2014,7.25,Guiana Space Center,Vega
KazSTSAT,Ghalam LLP,Commercial,Earth Observation,LEO,Sun-Synchronous,573,589,0.00115,97.7,100,2018,5,Vandenberg AFB,Falcon 9
USA 186,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Elliptical,264,1050,0.0559,97.9,18000,2005,5,Vandenberg AFB,Titan IV
USA 224,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Elliptical,200,1000,0.0574,97.8,18000,2011,5,Vandenberg AFB,Delta 4 Heavy
USA 245,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Elliptical,257,997,0.0529,97.8,18000,2013,5,Vandenberg AFB,Delta 4 Heavy
USA 290,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Polar,395,419,0.00177,74,18000,2019,5,Vandenberg AFB,Delta 4 Heavy
USA 133,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,671,675,0.000284,57,14500,1997,5,Vandenberg AFB,Titan IV
USA 152,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,574,676,0.00729,68,14500,2000,9,Vandenberg AFB,Titan IV
USA 182,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,Non-Polar Inclined,713,716,0.000212,57.01,14500,2005,9,Cape Canaveral,Titan 4B
Landmapper BC3.v2,Astro Digital,Commercial,Earth Observation,LEO,Sun-Synchronous,496,502,0.000437,97.5,11,2018,5,Satish Dhawan Space Centre,PSLV
Landsat 7,National Aeronautics and Space Administration (NASA)/US Geological Survey,Government,Earth Observation,LEO,Sun-Synchronous,702,703,7.07E-05,98.2,2744,1999,15,Vandenberg AFB,Delta 2
Landsat 8,National Aeronautics and Space Administration (NASA)/US Geological Survey,Government,Earth Observation,LEO,Sun-Synchronous,700,705,0.000353,98.2,2780,2013,5,Vandenberg AFB,Atlas 5
